Ptero Engine session log
Started 2026-09-20 23:48:57
File    K:\Ptero-Engine\Logs\Ptero_2026-09-20_23-48-57.txt
----------------------------------------------------------------------
[23:48:57.877] [INFO ] [Log         ] Logging to disk started.
[23:48:57.877] [INFO ] [Log         ] K:\Ptero-Engine\Logs\Ptero_2026-09-20_23-48-57.txt
[23:48:57.877] [INFO ] [Renderer    ] RendererDX12_Initialize starting.
[23:49:03.406] [ERROR] [Renderer    ] Startup shader cache warmup found 4 failed shader entries. First failure: RtAO_NrdComposite.hlsl :: CSMain [cs_5_0]: DirectX 12 call failed. HRESULT: -2147467259
[23:49:03.413] [INFO ] [CVar        ] 333 cvars registered. Type 'list' in the console to see them.
[23:49:03.414] [INFO ] [Renderer    ] Renderer initialized.
[23:49:16.022] [ERROR] [Watchdog    ] Render thread has not completed frame 939 for 5.1 s. Everything above this line is what it did last.
[23:49:20.120] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_1', meshPath='Geometry/Modular/sm_Floor_1_1.fbx.ptero', materialPath='Materials/Floor_Planks.json'
[23:49:20.122] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_1', vertices=306, indices=1152, subMeshes=2
[23:49:20.122] [DEBUG] [Renderer    ] Attempting mesh load for entity='Table', meshPath='Geometry/MET_Table/Meshes/SM_MET_Table_c0_LOD0.fbx.ptero', materialPath='Geometry/MET_Table/M_MET_Table.json'
[23:49:20.142] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Table', vertices=54401, indices=312513, subMeshes=1
[23:49:20.142] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_1', meshPath='Geometry/Modular/sm_Floor_1_1.fbx.ptero', materialPath='Materials/Floor_Planks.json'
[23:49:20.142] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_1', vertices=306, indices=1152, subMeshes=2
[23:49:20.142] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_1', meshPath='Geometry/Modular/sm_Floor_1_1.fbx.ptero', materialPath='Materials/Floor_Planks.json'
[23:49:20.142] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_1', vertices=306, indices=1152, subMeshes=2
